controller,lap,lap_time_s,samples,rms_x_error_m,rms_y_error_m,rms_positional_error_m,mean_x_error_m,mean_y_error_m,max_x_error_m,max_y_error_m,rms_cte_m,mean_cte_m,max_cte_m,steering_smoothness_rad_per_sample,trajectory_correlation
Pure_Pursuit,1,9.903745412826538,2464,1.5461957087785665,0.9502756245967688,1.8148677451946829,1.3194819822037298,0.6468977763424462,2.248058015598992,2.1193306724641507,0.1533817299366622,0.1199848996458816,0.3324134555136187,0.3353690361690278,0.5233482530984309
Pure_Pursuit,2,9.590704441070557,2407,1.4899220925606196,0.9656275699981476,1.7754730203077551,1.2528314554054425,0.6989068229504114,2.246651673383063,2.104704665369342,0.1823703824683722,0.1508813407883599,0.4123815984418568,0.3392004368280423,0.4831454426879681
Pure_Pursuit,3,8.247796297073364,2072,1.6278688795587568,1.0115835394829027,1.9165746388775573,1.4248453894332225,0.6987863481971854,2.247577105784217,2.100905211965858,0.1877602595224813,0.1600080737174701,0.3290263343182426,0.3652136688210512,0.4844195892789538
Pure_Pursuit,4,9.091293334960938,2283,1.5512937360533812,0.990594468496366,1.8405949191862003,1.304524967829528,0.713450723903584,2.244051797799676,2.100471856383105,0.1743209770987372,0.1485558984220187,0.3233969991917201,0.3485480459115994,0.5958296602595559
Pure_Pursuit,5,9.10145616531372,2285,1.5548943195500409,0.9898526572679844,1.843232114539424,1.309103837480803,0.7105092268018011,2.248772411007934,2.118357449409753,0.1674850410295125,0.1401461711716796,0.3280534457046679,0.3481915657177007,0.5487988509537818
PINN,1,8.99614667892456,2237,1.307304138503679,0.8348544453518746,1.5511370202121515,1.179893551296577,0.5618737089421939,1.6056447784778625,1.6045621489352575,0.2276563100381086,0.1742786794972343,0.5042925218002932,0.3514091689638596,0.579068215893721
PINN,2,8.203558444976807,2060,1.287559208250998,0.8670035413254309,1.5522576639922816,1.155239783675642,0.6079766714019939,1.6073775712746592,1.60193072844839,0.2410137037955974,0.1930794404178283,0.6071474099716702,0.3663935857913087,0.5621682093556958
PINN,3,8.375733137130737,2103,1.291948696949808,0.8584707883913886,1.5511619934976617,1.1613912512582087,0.5994231321751455,1.6072022795378147,1.6002101168423437,0.2409238405447002,0.1933879609028035,0.6152799179154395,0.3625336403017756,0.5207786049620351
PINN,4,8.30384635925293,2086,1.2919403993198464,0.8584465349124645,1.5511416597777077,1.1613151045729335,0.5999106831941111,1.6069271235581637,1.6011826922234969,0.2400266080535078,0.192406159307563,0.5823133473831674,0.3640807751971486,0.5452283175382427
PINN,5,8.344517946243286,2095,1.2931095730582538,0.8575706861424518,1.55163135108367,1.1637086614844572,0.5989081717088095,1.6053287247282482,1.600441604744438,0.2413388831293261,0.1940253209706354,0.6179428078318195,0.3071146309670983,0.586950062133544
PINN,6,8.372901439666748,2103,1.2919855147429609,0.8574570727306923,1.5506318718127527,1.1622543887929453,0.5965277161562612,1.6056990644650826,1.6024430734638957,0.241140833402681,0.1923129326063684,0.6225963662024986,0.3065574213527239,0.5486307183945957
PINN,7,8.270853042602539,2077,1.2899065999279722,0.8641052865154831,1.5525904104823485,1.1583757890082436,0.6049827529337817,1.607038792124464,1.6005708504366432,0.2404005936273398,0.1924984449679873,0.5771624682123802,0.3648598178094818,0.5692093333052919
PINN,8,8.396240949630737,2108,1.2913383802188396,0.8585999700020515,1.550725224117329,1.161363643530389,0.5985584290238893,1.6076388507127692,1.5984714453607192,0.2421735263819582,0.1936133852681446,0.6373206758987402,0.3621376723656825,0.5044553871927757
PINN_v2,1,9.023074865341188,2242,1.3053674856652484,0.8368470287302362,1.550579640691389,1.1758050870718562,0.5720386433214211,1.60383948013685,1.6029984542753333,0.2576261492352105,0.1979306593100475,0.5649453781928226,0.3510928704035701,0.551449193915093
PINN_v2,2,21.65953683853149,5424,1.3969453408443646,0.6706005181497758,1.549568114104548,1.3421870575957378,0.5500421440578319,1.606226716553622,1.6057365937188113,0.4426977386351864,0.3993614894333279,0.6674882482113703,0.1908328678744314,0.5676064875626615
PINN_v2,3,12.03835415840149,3018,1.3479613776389108,0.76689029170436,1.550845122865784,1.2502659200796065,0.5658233850689548,1.6068349612805846,1.602960958362499,0.3542713132061766,0.2918111634863856,0.5571485052286158,0.3026718535066506,0.5698828470537258
PINN_v2,4,8.331613302230835,2092,1.2899291535164792,0.8663818499645897,1.5538773217470565,1.153510817314692,0.6156307958143226,1.605089161518369,1.6020253307278067,0.2685625668594998,0.2145662891604191,0.6148904258758431,0.3072407810430946,0.5694552298531805
PINN_v2,5,8.611967325210571,2162,1.3060127031596143,0.8372540925928429,1.5513425142043094,1.1794328852374123,0.5769123338581593,1.6072013019720561,1.6027612277011531,0.2575643654170611,0.2035267196586675,0.6560319841888057,0.3021716156286274,0.5451604880389463
