x,y
-5.1803,0.0
-4.9764,0.0
-4.7762,0.0
-4.5718,0.0
-4.3669,0.0
-4.1619,0.0
-3.9569,0.0
-3.7519,0.0
-3.5469,0.0
-3.3419,0.0
-3.1369,0.0
-2.9319,0.0
-2.7269,0.0
-2.5219,0.0
-2.3169,0.0
-2.1119,0.0
-1.9069,0.0
-1.7019,0.0
-1.4969,0.0
-1.2919,0.0
-1.0869,0.0
-0.8819,0.0
-0.6819,0.0
-0.4819,0.0
-0.2819,0.0
-0.0819,0.0
0.1231,0.0
0.3231,0.0
0.5231,0.0
0.7231,0.0
0.9231,0.0
1.1281,0.0
1.3331,0.0
1.5352,0.0
1.7363,0.0
1.9395,0.0
2.1444,0.0
2.349,0.0
2.555,0.0
2.7554,0.0
2.9565,0.0
3.1577,0.0
3.359,0.0
3.5603,0.0
3.7616,0.0
3.9629,0.0
4.1642,0.0
4.3655,0.0
4.5669,0.0
4.7682,0.0
4.9695,0.0
5.1708,0.0
5.3721,0.0
5.5734,0.0
5.7747,0.0
5.9761,0.0
6.1774,0.0
6.3787,0.0
6.58,0.0
6.7813,0.0
6.9826,0.0
7.1839,0.0
7.3853,0.0
7.5866,0.0
7.7879,0.0
7.9892,0.0
8.1905,0.0
8.3918,0.0
8.5931,0.0
8.7944,0.0
8.9958,0.0
9.1941,0.0288
9.3817,0.1009
9.5529,0.2063
9.702,0.3412
9.8237,0.5012
9.9141,0.6808
9.97,0.8738
9.9896,1.0739
9.9722,1.2742
9.9434,1.4732
9.9235,1.6736
9.9035,1.8739
9.8835,2.0742
9.8635,2.2745
9.8435,2.4748
9.8235,2.6752
9.8035,2.8755
9.7836,3.0758
9.7636,3.2761
9.7436,3.4764
9.7236,3.6768
9.7104,3.8774
9.7248,4.078
9.7293,4.2792
9.7338,4.4805
9.7383,4.6818
9.7428,4.883
9.7474,5.0843
9.7519,5.2856
9.7564,5.4868
9.7609,5.6881
9.7654,5.8893
9.7699,6.0906
9.7744,6.2919
9.7789,6.4931
9.7834,6.6944
9.788,6.8957
9.7925,7.0969
9.797,7.2982
9.8015,7.4995
9.7977,7.7004
9.7454,7.8945
9.6583,8.0756
9.5395,8.2378
9.393,8.3754
9.2237,8.4839
9.0374,8.5595
8.8405,8.5996
8.6394,8.6034
8.4384,8.6113
8.2373,8.6225
8.0363,8.6337
7.8353,8.6449
7.6343,8.6561
7.4333,8.6673
7.2322,8.6693
7.0309,8.6729
6.8296,8.6764
6.6284,8.68
6.4271,8.6835
6.2259,8.6817
6.0246,8.6794
5.8233,8.6773
5.622,8.6752
5.4207,8.6732
5.2194,8.6711
5.0181,8.669
4.8168,8.667
4.6155,8.6649
4.4142,8.6628
4.2129,8.6607
4.0116,8.6587
3.8103,8.6566
3.609,8.6545
3.4077,8.6525
3.2064,8.6504
3.005,8.6483
2.8037,8.6463
2.6024,8.6442
2.4011,8.6421
2.1998,8.64
1.9985,8.638
1.7972,8.6359
1.5959,8.6338
1.3946,8.6318
1.1933,8.6297
0.992,8.6276
0.7907,8.6256
0.5894,8.6235
0.3881,8.6214
0.1868,8.6193
-0.0145,8.6173
-0.2158,8.6152
-0.4171,8.6131
-0.6184,8.6111
-0.8197,8.609
-1.021,8.6069
-1.2223,8.6049
-1.4236,8.6028
-1.6249,8.6007
-1.8262,8.5986
-2.0275,8.5966
-2.2288,8.5945
-2.4301,8.5924
