controller,axis,transition_id,start_idx,end_idx,rise_time_s,overshoot_pct,settling_time_s,steady_state_error,peak_following_error
Pure Pursuit,x,1,0,363,0.6811728795017816,2.954295105009108,0.9600155787130372,0.27769767590342553,6.0153172214727615
Pure Pursuit,x,2,596,1489,2.2267581265584555,2.2994957031607477,,8.952925136633128,9.543242822602457
Pure Pursuit,x,3,1676,2258,1.5216844442671382,0.0,,-1.2667214575307768,3.5290446258085053
Pure Pursuit,y,1,306,656,1.2747094821085974,3.711045070599406,1.7447586036361427,0.29686744615718297,2.0346204731346207
Pure Pursuit,y,2,1433,1797,1.1034203954502546,3.5195962066085773,1.5933868526357466,0.026613690083989783,2.887269136931236
PINN Drive,x,1,0,329,0.7290119023616712,6.640641697621352,,-0.5638152686592157,5.848068547812062
PINN Drive,x,2,539,1348,2.2348397662562713,2.2378252324814163,,9.59918182708693,10.852181679676466
PINN Drive,x,3,1517,2045,1.5257462218826232,0.0,,-1.0961502166250652,2.4798448701374536
PINN Drive,y,1,277,593,0.8684404082778379,5.164296759001874,1.4460727899305283,-0.19639676076434576,4.541077661103709
PINN Drive,y,2,1297,1627,1.039738286974842,4.069248107618817,1.199085150879034,0.26770397572768867,3.829402111479016
NN AI Controller,x,1,0,355,0.9243776830612804,6.292567343530209,,-0.7748691812491302,5.290260177391355
NN AI Controller,x,2,583,1456,2.287037888263685,2.466094225788251,,9.216329907291412,11.899374793255944
NN AI Controller,x,3,1638,2209,2.004146442154414,0.0,,-1.257348774660028,2.8519007741516473
NN AI Controller,y,1,299,641,0.9522683890157158,5.4769171193800315,1.5778170797080475,-0.2440043647600998,4.550945578011717
NN AI Controller,y,2,1401,1757,0.9044557502366839,5.72424019551776,,0.5061281939024196,5.101333337573471
